District CODE,District,CODE,ID in District,Health Centers,HSAs/HC
26,Machinga,2616,1,Ntaja,28
26,Machinga,2601,2,Chamba,28
26,Machinga,2614,3,Ngokwe,18
26,Machinga,2650,4,Mangamba,13
26,Machinga,2605,5,DHO,61
26,Machinga,2651,6,Mlomba,
26,Machinga,2606,7,Machinga HC,19
26,Machinga,2612,8,Nainunje,14
26,Machinga,2604,9,Kawinga,16
26,Machinga,2613,10,Nayuchi,13
26,Machinga,2610,11,Namandanje,9
26,Machinga,2603,12,Gawanani,11
26,Machinga,2609,13,Mposa,17
26,Machinga,2608,14,Mpiri,8
26,Machinga,2652,15,Ntholowa,3
26,Machinga,2617,16,Nyambi,13
26,Machinga,2615,17,Nsanama,18
26,Machinga,2611,18,Namanja,14
26,Machinga,2607,19,Mbonechera,10
26,Machinga,2602,20,Chikweyo,22
26,Machinga,2653,21,Mkwepere,8
03,Nkhatabay,0311,1,Liuzi,2
03,Nkhatabay,0308,2,Kachere,3
03,Nkhatabay,0309,3,Kande,4
03,Nkhatabay,0305,4,Chintheche,4
03,Nkhatabay,0302,5,Chesamu,1
03,Nkhatabay,0316,6,Maula,5
03,Nkhatabay,0315,7,Nkhatabay DHO,5
03,Nkhatabay,0313,8,Mpamba,4
03,Nkhatabay,0303,9,Chikwina,3
03,Nkhatabay,0301,10,Bula,3
03,Nkhatabay,0319,11,Usisya,1
03,Nkhatabay,0310,12,Khondowe,1
03,Nkhatabay,0317,13,Ruarwe,1
03,Nkhatabay,0306,14,Chitheka,2
03,Nkhatabay,0314,15,Mzenga,6
03,Nkhatabay,0350,16,Nthungwa,2
03,Nkhatabay,0304,17,Chilambwe,0
03,Nkhatabay,0312,18,Lwazi,0
03,Nkhatabay,0307,19,Chizumulo,1
03,Nkhatabay,0318,20,Likoma,4
32,Mulanje,3213,1,Mulomba,17
32,Mulanje,3219,2,Thuchira,12
32,Mulanje,3201,3,Bondo,11
32,Mulanje,3250,4,Lujeri Estate,3
32,Mulanje,3209,5,Mimosa,3
32,Mulanje,3210,6,Mpala,5
