Zone Code,Zone Name,District Code,District Name,Facility Code,Facility Name
se,South Eastern,26,Machinga,2616,Ntaja
se,South Eastern,26,Machinga,2601,Chamba
se,South Eastern,26,Machinga,2614,Ngokwe
se,South Eastern,26,Machinga,2650,Mangamba
se,South Eastern,26,Machinga,2605,DHO
se,South Eastern,26,Machinga,2651,Mlomba
se,South Eastern,26,Machinga,2606,Machinga HC
se,South Eastern,26,Machinga,2612,Nainunje
se,South Eastern,26,Machinga,2604,Kawinga
se,South Eastern,26,Machinga,2613,Nayuchi
se,South Eastern,26,Machinga,2610,Namandanje
se,South Eastern,26,Machinga,2603,Gawanani
se,South Eastern,26,Machinga,2609,Mposa
se,South Eastern,26,Machinga,2608,Mpiri
se,South Eastern,26,Machinga,2652,Ntholowa
se,South Eastern,26,Machinga,2617,Nyambi
se,South Eastern,26,Machinga,2615,Nsanama
se,South Eastern,26,Machinga,2611,Namanja
se,South Eastern,26,Machinga,2607,Mbonechera
se,South Eastern,26,Machinga,2602,Chikweyo
se,South Eastern,26,Machinga,2653,Mkwepere
no,Northern,3,Nkhatabay,311,Liuzi
no,Northern,3,Nkhatabay,308,Kachere
no,Northern,3,Nkhatabay,309,Kande
no,Northern,3,Nkhatabay,305,Chintheche
no,Northern,3,Nkhatabay,302,Chesamu
no,Northern,3,Nkhatabay,316,Maula
no,Northern,3,Nkhatabay,315,Nkhatabay DHO
no,Northern,3,Nkhatabay,313,Mpamba
no,Northern,3,Nkhatabay,303,Chikwina
no,Northern,3,Nkhatabay,301,Bula
no,Northern,3,Nkhatabay,319,Usisya
no,Northern,3,Nkhatabay,310,Khondowe
no,Northern,3,Nkhatabay,317,Ruarwe
no,Northern,3,Nkhatabay,306,Chitheka
no,Northern,3,Nkhatabay,314,Mzenga
no,Northern,3,Nkhatabay,350,Nthungwa
no,Northern,3,Nkhatabay,304,Chilambwe
no,Northern,3,Nkhatabay,312,Lwazi
no,Northern,3,Nkhatabay,307,Chizumulo
no,Northern,3,Nkhatabay,318,Likoma
se,South Eastern,32,Mulanje,3213,Mulomba
se,South Eastern,32,Mulanje,3219,Thuchira
se,South Eastern,32,Mulanje,3201,Bondo
se,South Eastern,32,Mulanje,3250,Lujeri Estate
se,South Eastern,32,Mulanje,3209,Mimosa
se,South Eastern,32,Mulanje,3210,Mpala
se,South Eastern,32,Mulanje,3202,Chambe
se,South Eastern,32,Mulanje,3206,Kambenje
se,South Eastern,32,Mulanje,3205,Dzenje
se,South Eastern,32,Mulanje,3208,Milonde
se,South Eastern,32,Mulanje,3211,Mulanje DHO
se,South Eastern,32,Mulanje,3203,Chinyama
se,South Eastern,32,Mulanje,3218,Thembe
se,South Eastern,32,Mulanje,3204,Chonde
se,South Eastern,32,Mulanje,3207,Mbiza
se,South Eastern,32,Mulanje,3212,Mulanje Mission
se,South Eastern,32,Mulanje,3214,Muloza
se,South Eastern,32,Mulanje,3215,Namasalima
se,South Eastern,32,Mulanje,3216,Namphungo
se,South Eastern,32,Mulanje,3217,Namulenga
ce,Central Eastern,11,Nkhotakota,1104,Dwambazi
