1,MOHSW,t,,,,,,,MOHSW
2,TABORA,t,,MOHSW,MOHSW,,,,REGION
3,MOROGORO,t,,MOHSW,MOHSW,,,,REGION
4,RUKWA,t,,MOHSW,MOHSW,,,,REGION
5,LINDI,t,,MOHSW,MOHSW,,,,REGION
6,RUVUMA,t,,MOHSW,MOHSW,,,,REGION
7,MBEYA,t,,MOHSW,MOHSW,,,,REGION
8,IRINGA,t,,MOHSW,MOHSW,,,,REGION
9,SHINYANGA,t,,MOHSW,MOHSW,,,,REGION
10,SINGIDA,t,,MOHSW,MOHSW,,,,REGION
11,MANYARA,t,,MOHSW,MOHSW,,,,REGION
12,KIGOMA,t,,MOHSW,MOHSW,,,,REGION
13,DODOMA,t,,MOHSW,MOHSW,,,,REGION
14,KAGERA,t,,MOHSW,MOHSW,,,,REGION
15,ARUSHA,t,,MOHSW,MOHSW,,,,REGION
16,PWANI,t,,MOHSW,MOHSW,,,,REGION
17,MWANZA,t,,MOHSW,MOHSW,,,,REGION
18,MARA,t,,MOHSW,MOHSW,,,,REGION
19,TANGA,t,,MOHSW,MOHSW,,,,REGION
20,MTWARA,t,,MOHSW,MOHSW,,,,REGION
21,KILIMANJARO,t,,MOHSW,MOHSW,,,,REGION
22,DAR ES SALAAM,t,,MOHSW,MOHSW,,,,REGION
23,ZANZIBAR CENTRAL/SOUTH,t,,MOHSW,MOHSW,,,,REGION
24,PEMBA NORTH,t,,MOHSW,MOHSW,,,,REGION
25,ZANZIBAR NORTH,t,,MOHSW,MOHSW,,,,REGION
26,PEMBA SOUTH,t,,MOHSW,MOHSW,,,,REGION
27,ZANZIBAR WEST,t,,MOHSW,MOHSW,,,,REGION
28,MASASI,t,,MTWARA,REGION,,,,DISTRICT
29,NANYUMBU,t,,MTWARA,REGION,,,,DISTRICT
30,NEWALA,t,,MTWARA,REGION,,,,DISTRICT
31,TANDAHIMBA,t,,MTWARA,REGION,,,,DISTRICT
32,MTWARA URBAN,t,,MTWARA,REGION,,,,DISTRICT
33,MTWARA RURAL,t,,MTWARA,REGION,,,,DISTRICT
34,ILALA,t,,Dar es Salaam,REGION,,,,DISTRICT
35,Kibaha Urban,t,,Pwani,REGION,,,,DISTRICT
36,Kilombero,t,,Morogoro,REGION,,,,DISTRICT
37,Kilosa,t,,Morogoro,REGION,,,,DISTRICT
38,Kinondoni,t,,Dar es Salaam,REGION,,,,DISTRICT
39,Kisarawe,t,,Pwani,REGION,,,,DISTRICT
40,Mafia,t,,Pwani,REGION,,,,DISTRICT
41,Mkuranga,t,,Pwani,REGION,,,,DISTRICT
42,Morogoro Rural,t,,Morogoro,REGION,,,,DISTRICT
43,Morogoro Urban,t,,Morogoro,REGION,,,,DISTRICT
44,Mvomero,t,,Morogoro,REGION,,,,DISTRICT
45,Rufiji,t,,Pwani,REGION,,,,DISTRICT
46,Ulanga,t,,Morogoro,REGION,,,,DISTRICT
47,KIBAHA RURAL,t,,PWANI,REGION,,,,DISTRICT
48,KIBAHA TOWN,t,,PWANI,REGION,,,,DISTRICT
49,TEMEKE,t,D12345,DAR ES SALAAM,REGION,,,,DISTRICT
50,BAGAMOYO,t,,PWANI,REGION,,,,DISTRICT
51,KILINDI,t,,TANGA,REGION,,,,DISTRICT
52,Arusha MC,t,,Arusha,REGION,,,,DISTRICT
53,Arusha DC,t,,Arusha,REGION,,,,DISTRICT
54,Arumeru,t,,Arusha,REGION,,,,DISTRICT
55,Longido,t,,Arusha,REGION,,,,DISTRICT
56,Karatu,t,,Arusha,REGION,,,,DISTRICT
57,Monduli,t,,Arusha,REGION,,,,DISTRICT
58,Ngorongoro,t,,Arusha,REGION,,,,DISTRICT
59,Simanjiro,t,,Manyara,REGION,,,,DISTRICT
60,Babati DC,t,,Manyara,REGION,,,,DISTRICT
61,Babati TC,t,,Manyara,REGION,,,,DISTRICT
62,Hanang,t,,Manyara,REGION,,,,DISTRICT
63,Kiteto,t,,Manyara,REGION,,,,DISTRICT
64,Mbulu,t,,Manyara,REGION,,,,DISTRICT
